Company|Total Capital And Liabilities|Total Assets|Total Current Liabilities|Total Current Assets|Total Share Capital|Inventories|Trade Receivables|Trade Payables|Profit/Loss For The Period|Equity Share Dividend|Profit/Loss Before Tax|Depreciation And Amortisation Expenses|Finance Costs|Total Revenue|Operating And Direct Expenses|Current Ratio|Quick Ratio|Total Debt/Equity|MARKET CAP(Rs CR)
Bajaj Auto|20,814.89|20,814.89|3,212.58|9,391.37|289.37|728.38|953.29|2,235.73|3,827.56|144.68|5,335.63|307.29|1.40|22,988.65|NA|2.92|2.70|0.00|96,590.71
Hero Motocorp|14,694.26|14,694.26|4,093.33|7,453.18|39.94|656.31|1,561.87|3,247.27|3,377.12|1,737.34|4,658.46|492.73|6.05|28,997.42|NA|1.82|1.66|0.00|75,608.08
TVS Motor|5,904.67|5,904.67|2,851.08|2,186.89|47.51|966.95|723.77|1,859.36|558.08|118.78|698.68|287.81|43.95|12,308.68|NA|0.77|0.43|0.45|36,812.13
Endurance Techn|2,248.72|2,248.72|647.26|824.56|140.66|249.07|484.64|347.95|221.50|5.28|298.88|166.86|17.86|3,894.39|NA|1.27|0.89|0.10|18,958.54
Mah Scooters|344.12|344.12|9.12|83.98|11.43|1.18|2.21|0.42|12.56|0.00|13.70|0.55|NA|29.24|NA|9.21|9.08|NA|3,171.43
Atul Auto|245.49|245.49|58.23|143.40|11.20|36.23|47.77|35.96|37.32|9.33|56.52|5.28|0.58|477.84|NA|2.46|1.84|NA|962.65
Scooters India|157.80|157.80|50.82|145.51|85.38|66.05|0.78|19.61|-10.28|NA|-10.01|1.64|0.81|100.67|NA|2.86|1.56|0.30|421.79
Majestic Auto|368.47|368.47|60.25|56.94|10.40|17.78|32.27|31.87|-9.80|NA|-16.76|17.03|16.06|187.09|NA|0.95|0.65|1.02|144.94
Kinetic Eng|158.20|158.20|67.93|51.94|38.55|20.48|25.56|30.04|-14.17|NA|-14.17|8.14|3.28|83.48|NA|0.76|0.46|4.00|127.99
LML|181.62|181.62|828.30|126.98|200.41|88.83|3.09|157.69|-78.36|NA|-78.36|9.35|47.63|157.79|28.49|0.15|0.05|NA|74.52
Maruti Suzuki|50,993.30|50,993.30|13,231.30|8,609.90|151.00|3,262.20|1,199.20|8,367.30|7,337.70|1,057.30|9,941.30|2,602.10|89.40|70,314.60|NA|0.65|0.40|0.01|293,025.21
M&M;|39,338.31|39,338.31|9,458.95|12,455.99|296.81|2,715.60|2,918.45|7,156.26|3,955.65|720.92|5,187.50|1,327.16|145.58|45,127.85|NA|1.32|1.03|0.11|92,890.58
Hind Motors|39.13|39.13|145.23|9.32|104.41|3.27|1.03|23.84|-19.14|NA|-19.14|1.56|10.30|2.18|NA|0.06|0.04|-0.03|174.65
Tata Motors|58,536.60|58,536.60|21,647.80|12,588.06|679.22|5,504.42|2,128.00|7,015.21|-2,479.99|61.00|-2,082.06|2,969.39|1,590.15|45,342.84|454.48|0.58|0.33|0.92|143,270.96
Eicher Motors|5,521.84|5,521.84|1,453.66|1,360.36|27.21|322.45|48.94|831.93|1,560.02|0.00|2,276.99|153.34|2.79|7,265.28|NA|0.94|0.71|0.00|82,552.38
Ashok Leyland|13,799.56|13,799.56|6,181.23|5,859.61|284.59|2,501.12|859.90|3,052.18|1,223.08|325.40|1,330.09|517.89|155.38|20,154.93|NA|0.95|0.54|0.22|34,393.47
Tata Motors (D)|58,536.60|58,536.60|21,647.80|12,588.06|679.22|5,504.42|2,128.00|7,015.21|-2,479.99|61.00|-2,082.06|2,969.39|1,590.15|45,342.84|454.48|0.58|0.33|0.92|7,713.91
Force Motors|2,697.65|2,697.65|901.33|1,493.05|13.18|437.67|115.10|485.35|179.92|0.00|235.00|113.08|5.54|3,153.93|NA|1.66|1.17|0.12|4,728.89
SML Isuzu|782.64|782.64|279.97|450.06|14.48|294.58|114.76|190.71|62.81|0.00|84.63|23.53|4.00|1,373.11|NA|1.61|0.56|0.10|1,325.60
Escorts|3,513.15|3,513.15|1,416.55|1,417.46|122.58|429.48|458.02|893.78|160.44|14.35|276.75|63.07|31.11|4,136.62|NA|1.00|0.70|0.11|9,139.94
HMT|928.18|928.18|380.32|188.32|1,204.09|18.58|5.95|16.18|-239.49|NA|-40.16|0.32|2.88|21.17|0.31|0.50|0.45|1.65|4,936.78
VST Tillers|618.64|618.64|83.24|418.04|8.64|70.70|132.28|36.34|71.75|0.00|99.55|11.81|2.98|710.73|NA|5.02|4.17|NA|2,073.53
Motherson Sumi|8,278.00|8,278.00|1,255.10|2,162.10|140.40|691.70|811.50|780.70|827.30|0.00|1,172.80|197.70|12.40|6,454.70|NA|1.72|1.17|0.20|79,191.21
Bosch|11,799.80|11,799.80|2,630.00|5,899.40|30.50|1,180.40|1,186.20|1,339.90|1,741.10|495.80|2,094.40|456.20|27.20|11,052.60|NA|2.24|1.79|0.00|60,762.98
Exide Ind|6,775.60|6,775.60|1,608.49|3,176.42|85.00|1,527.37|621.65|767.85|693.64|204.00|975.73|206.32|4.31|7,732.26|NA|1.97|1.03|0.03|18,704.25
Amara Raja Batt|3,584.57|3,584.57|759.62|1,758.62|17.08|816.95|570.49|418.44|478.49|0.00|702.21|191.17|5.77|5,366.39|0.00|2.32|1.24|0.03|14,234.66
WABCO India|1,737.08|1,737.08|445.47|1,302.01|9.48|145.34|517.98|341.93|213.48|11.38|300.45|61.63|0.46|2,103.64|NA|2.92|2.60|NA|13,459.40
Minda Ind|1,327.33|1,327.33|439.31|689.39|15.87|87.60|244.32|238.46|94.82|9.52|118.99|47.95|13.87|1,664.26|NA|1.57|1.37|0.33|11,349.83
Sundaram-Clayto|1,259.12|1,259.12|464.01|489.05|10.12|235.14|171.10|182.93|105.59|63.73|119.67|60.64|28.54|1,468.87|NA|1.05|0.55|0.44|11,329.97
Suprajit Eng|819.01|819.01|230.91|310.47|13.99|89.41|162.00|68.97|86.86|6.99|126.63|15.94|22.38|882.11|NA|1.34|0.96|0.30|4,438.85
Minda Corp|712.35|712.35|212.55|226.53|60.80|43.32|144.52|90.18|53.19|4.19|64.55|19.51|7.71|787.92|NA|1.07|0.86|0.29|4,164.26
Rane Holdings|369.08|369.08|13.65|64.95|14.28|NA|5.86|2.75|49.86|5.00|62.81|1.41|2.78|98.80|NA|4.76|4.76|0.02|3,445.24
Jamna Auto|529.69|529.69|165.55|173.78|39.83|87.10|46.67|63.50|103.37|11.99|130.14|46.44|9.16|1,142.80|NA|1.05|0.52|0.18|3,063.98
Federal-Mogul|1,002.37|1,002.37|323.28|430.94|55.63|181.87|189.94|196.91|71.99|NA|109.82|76.39|19.75|1,328.46|NA|1.33|0.77|0.18|2,981.88
Gabriel India|770.06|770.06|286.12|454.63|14.36|129.80|211.79|214.67|81.62|6.47|110.81|35.33|1.66|1,534.54|NA|1.59|1.14|0.02|2,774.48
Wheels|1,365.32|1,365.32|696.77|763.57|12.03|279.23|415.79|416.35|59.31|6.02|78.27|63.92|47.79|2,176.06|NA|1.10|0.70|0.61|2,286.13
JBM Auto|736.85|736.85|377.93|323.75|30.40|121.51|157.63|169.26|40.20|0.00|49.38|23.29|25.92|708.86|NA|0.86|0.54|0.88|2,281.48
Sona Koyo Stee|744.08|744.08|301.21|234.98|19.87|74.82|128.39|163.39|23.59|0.00|33.29|74.77|26.40|1,172.21|NA|0.78|0.53|0.53|2,229.88
Automotive Axle|563.63|563.63|181.84|395.47|15.11|98.80|231.40|168.79|48.58|0.00|73.86|39.46|0.90|1,148.82|NA|2.17|1.63|0.00|2,138.34
Lumax Inds|841.25|841.25|534.81|347.21|9.35|116.05|190.94|344.27|45.18|0.00|54.16|40.43|11.41|1,305.97|NA|0.65|0.43|0.34|2,004.01
Banco Products|597.11|597.11|58.59|310.78|14.30|94.37|95.58|39.18|107.25|35.76|135.44|17.35|0.40|577.73|0.00|5.30|3.69|0.00|1,877.36
Subros|1,149.67|1,149.67|612.87|442.13|12.00|205.23|130.21|178.58|14.04|0.00|9.19|87.91|42.22|1,552.76|NA|0.72|0.39|0.94|1,772.66
