Company|Total Capital And Liabilities|Total Assets|Total Current Liabilities|Total Current Assets|Total Share Capital|Inventories|Trade Receivables|Trade Payables|Profit/Loss For The Period|Equity Share Dividend|Profit/Loss Before Tax|Depreciation And Amortisation Expenses|Finance Costs|Total Revenue|Operating And Direct Expenses|Current Ratio|Quick Ratio|Total Debt/Equity|MARKET CAP(Rs CR)
Pidilite Ind|4,295.58|4,295.58|785.95|2,665.72|51.27|556.25|607.65|328.47|773.79|30.85|1,144.72|90.24|5.68|4,975.47|NA|3.39|2.68|NA|48,468.27
UPL|11,347.00|11,347.00|2,553.00|4,002.00|183.00|1,355.00|1,957.00|2,188.00|245.00|214.00|418.00|655.00|149.00|7,264.00|NA|1.57|1.04|0.09|37,124.85
Tata Chemicals|12,799.36|12,799.36|2,565.21|4,471.00|254.82|611.53|1,031.69|511.73|692.71|301.67|794.03|152.41|214.85|6,405.36|NA|1.74|1.50|0.18|18,728.41
Solar Ind|1,044.14|1,044.14|237.09|430.14|18.10|77.83|172.63|40.39|132.58|18.10|197.15|19.28|13.79|1,150.69|NA|1.81|1.49|0.27|10,704.97
Guj Flourochem|4,080.36|4,080.36|666.72|1,051.33|10.99|315.90|370.76|74.96|146.29|0.00|192.40|148.84|35.18|1,498.63|NA|1.58|1.10|0.19|9,820.59
BASF|3,880.55|3,880.55|1,949.90|2,411.20|43.29|920.13|1,090.98|1,230.51|-14.13|4.33|-12.47|169.03|141.64|5,096.13|NA|1.24|0.76|0.96|9,692.52
Aarti Ind|3,340.89|3,340.89|1,293.24|1,278.57|41.06|546.59|547.37|294.87|306.68|0.00|378.74|114.80|117.38|3,052.73|429.04|0.99|0.57|1.08|9,247.99
Himadri Special|2,174.30|2,174.30|608.56|752.54|41.84|392.07|215.61|149.31|81.17|2.52|123.40|30.97|80.47|1,332.07|NA|1.24|0.59|0.67|6,807.50
Guj Alkali|4,436.61|4,436.61|408.56|1,012.78|73.44|169.90|328.75|225.77|308.10|33.05|381.78|110.92|12.83|2,126.13|NA|2.48|2.06|0.09|5,438.00
Vinati Organics|821.71|821.71|71.88|315.41|10.32|67.09|140.54|32.74|139.30|0.00|204.64|21.37|2.75|675.89|NA|4.39|3.45|0.00|5,293.24
Linde India|3,822.74|3,822.74|962.84|729.92|85.29|68.68|368.34|284.57|9.34|6.40|5.11|198.87|114.63|1,859.00|NA|0.76|0.69|0.78|4,511.96
