Company|Total Capital And Liabilities|Total Assets|Total Current Liabilities|Total Current Assets|Total Share Capital|Inventories|Trade Receivables|Trade Payables|Profit/Loss For The Period|Equity Share Dividend|Profit/Loss Before Tax|Depreciation And Amortisation Expenses|Finance Costs|Total Revenue|Operating And Direct Expenses|Current Ratio|Quick Ratio|Total Debt/Equity|MARKET CAP(Rs CR)
Bhushan|60,463.40|60,463.40|25,182.09|5,795.29|2,402.31|3,148.92|1,525.55|1,109.96|-3,501.12|0.00|-4,125.09|1,685.61|5,426.76|13,777.91|NA|0.23|0.11|-35.30|1,413.45
Pennar Inds|847.25|847.25|357.82|556.92|60.17|188.78|243.71|257.25|30.06|0.00|47.86|11.75|33.74|991.19|115.36|1.56|1.03|0.39|803.33
Uttam Value|3,862.07|3,862.07|2,412.28|852.78|670.14|363.34|313.17|957.44|-509.24|NA|-509.24|145.38|258.91|3,557.74|551.70|0.35|0.20|-2.53|257.71
Mahamaya Steel|206.89|206.89|76.29|89.00|45.57|40.36|26.88|1.59|3.32|NA|3.90|6.54|9.60|254.87|45.19|1.17|0.64|0.79|101.60
Steelco Gujarat|316.74|316.74|313.16|249.50|78.87|101.52|106.67|177.12|-30.74|NA|-30.74|2.52|21.29|535.00|NA|0.80|0.47|-1.94|38.52
Rishabh Digha|8.58|8.58|0.25|1.64|5.49|NA|0.54|-0.01|0.27|0.00|0.40|0.18|NA|2.47|0.29|6.45|6.45|NA|23.51
Ruchi Strips|17.77|17.77|15.87|17.39|50.01|NA|15.32|15.41|0.06|NA|0.07|NA|0.00|15.55|NA|1.10|1.10|0.00|13.55
Jai Corp|2,059.65|2,059.65|944.53|217.43|17.85|74.91|74.96|4.55|-14.51|2.41|6.11|16.44|77.53|670.67|0.00|0.23|0.15|0.00|3,115.73
Uttam Galva|10,108.05|10,108.05|6,576.83|2,266.57|142.26|858.05|1,186.74|2,060.38|-425.71|NA|-628.71|285.31|608.99|4,412.35|246.83|0.34|0.21|7.20|312.97
National Steel|1,334.61|1,334.61|885.28|1,125.89|99.51|451.29|418.18|669.28|20.62|NA|32.55|16.21|134.89|3,995.45|NA|1.27|0.76|0.55|198.69
Metal Coatings|39.52|39.52|14.76|32.28|7.33|8.20|22.62|0.52|1.71|0.73|2.59|0.73|1.40|98.54|8.53|2.19|1.63|0.46|28.54
Vardhman Ind|198.85|198.85|107.63|108.11|7.95|29.34|49.28|6.45|-24.04|0.00|-24.42|5.81|7.30|186.75|NA|1.00|0.73|2.02|10.86
Shree Precoated|6.72|6.72|4.01|6.68|82.80|0.00|1.30|3.74|-5.77|NA|-5.77|0.01|0.02|2.90|0.00|1.67|1.67|0.00|1.99
Tata Steel|111,465.41|111,465.41|23,056.33|20,097.43|971.41|10,236.85|2,006.52|10,717.44|3,444.55|1,043.07|5,356.93|3,541.55|2,688.55|48,407.48|NA|0.87|0.43|0.56|69,014.60
JSW Steel|80,911.36|80,911.36|26,079.74|17,784.83|837.95|9,270.26|3,948.00|12,608.76|3,576.54|218.20|5,131.28|3,024.61|3,642.79|52,545.57|NA|0.68|0.33|1.36|63,669.59
SAIL|106,539.47|106,539.47|46,324.41|25,562.55|4,130.53|15,711.35|2,921.69|5,219.20|-2,833.24|0.00|-4,850.86|2,679.95|2,527.82|44,988.02|NA|0.55|0.21|1.08|35,295.34
Jindal (Hisar)|6,311.02|6,311.02|3,001.24|3,044.25|47.19|1,539.87|1,088.54|1,480.56|218.02|0.00|325.85|265.24|411.93|6,950.51|1,303.06|1.01|0.50|3.76|5,424.14
Steel Exchange|1,605.22|1,605.22|1,135.36|974.16|94.59|636.47|227.01|107.98|-157.13|NA|-118.81|27.32|157.44|1,286.31|77.55|0.86|0.30|8.37|264.43
Manaksia Steels|256.33|256.33|88.69|199.34|6.55|48.96|93.62|15.89|8.98|NA|14.30|7.59|4.43|335.54|0.00|2.25|1.70|0.35|253.57
Visa Steel|3,885.20|3,885.20|2,534.79|480.15|110.00|185.99|141.30|252.45|-142.66|NA|-142.66|150.43|36.59|1,425.22|NA|0.19|0.12|-4.34|218.26
SVP Housing|37.40|37.40|15.12|37.32|20.43|32.95|0.00|2.11|0.03|NA|0.05|0.03|0.24|0.07|NA|2.47|0.29|0.22|39.41
Pact Industries|27.34|27.34|13.96|18.16|5.94|14.46|2.53|2.95|0.22|NA|0.38|0.30|1.59|52.22|6.27|1.30|0.26|1.23|24.46
Star Cement|1,572.66|1,572.66|476.68|796.10|41.92|62.03|287.70|74.14|73.08|0.00|79.31|46.69|56.32|1,402.27|NA|1.67|1.54|0.87|5,405.96
Jindal Stainles|10,270.87|10,270.87|5,014.16|3,198.53|79.89|1,754.68|805.01|1,643.59|58.34|NA|88.71|307.98|761.69|8,336.83|1,808.56|0.64|0.29|2.94|4,970.73
Technocraft Ind|1,018.65|1,018.65|338.52|716.17|26.30|187.34|244.23|44.59|97.32|0.00|137.37|18.73|14.78|899.48|NA|2.12|1.56|0.42|1,383.64
Electrosteel St|13,016.53|13,016.53|6,655.89|1,214.56|2,409.24|791.76|127.20|409.38|-1,463.48|NA|-1,463.48|478.82|1,129.83|2,634.78|NA|0.18|0.06|-13.41|1,286.53
Mukand|4,467.18|4,467.18|2,351.43|3,307.66|147.05|1,618.42|1,072.60|864.20|-41.81|NA|6.43|70.96|279.95|2,725.46|NA|1.41|0.72|6.19|1,257.10
Beekay Steel|562.86|562.86|191.42|293.82|19.09|155.58|84.83|35.22|35.48|0.00|54.85|14.81|18.79|725.38|120.22|1.53|0.72|0.79|886.85
Usha Martin|6,753.61|6,753.61|3,465.91|1,864.67|30.54|1,008.62|544.06|1,702.31|-354.95|0.00|-354.95|268.58|549.01|3,363.30|NA|0.54|0.25|7.78|691.76
Balasore Alloys|1,627.10|1,627.10|699.85|460.98|45.96|203.12|39.79|351.57|89.52|0.00|141.53|22.80|39.34|1,036.90|NA|0.66|0.37|0.29|680.90
Bharat Wire Rop|600.47|600.47|79.09|97.29|44.95|43.71|16.93|18.26|1.64|NA|3.02|3.89|2.54|68.08|NA|1.23|0.68|2.65|622.14
Vardhman Steels|612.67|612.67|298.14|335.08|18.56|117.83|188.97|34.91|19.14|NA|19.13|18.07|28.28|679.45|NA|1.12|0.73|1.28|529.27
M.D. Inducto|134.24|134.24|52.38|89.13|24.09|47.08|28.32|8.62|5.74|NA|8.90|4.09|6.42|264.32|55.57|1.70|0.80|0.95|517.89
Kamdhenu|319.55|319.55|188.74|267.36|23.40|84.68|159.54|72.73|9.83|0.00|14.48|5.41|13.62|825.83|NA|1.42|0.97|0.91|517.14
Adhunik Ind|275.72|275.72|155.06|220.90|46.76|88.08|87.86|52.46|2.30|NA|3.48|3.71|15.38|375.13|NA|1.42|0.86|0.83|446.59
Rama Steel Tube|128.29|128.29|65.41|97.85|8.02|51.44|30.15|14.72|7.68|NA|11.33|2.91|7.61|238.36|4.64|1.50|0.71|1.02|357.38
Shivalik Bimeta|127.94|127.94|47.00|67.07|3.84|25.89|26.57|8.17|9.11|0.58|13.85|3.60|2.48|120.85|NA|1.43|0.88|0.35|341.98
Lloyds Steels|545.01|545.01|445.96|531.95|89.87|31.74|295.49|57.28|2.25|0.00|1.30|1.13|0.31|81.89|0.00|1.19|1.12|0.00|188.73
Manaksia Coated|229.19|229.19|84.54|97.89|6.55|29.51|43.36|45.36|1.00|NA|3.33|8.16|3.36|256.58|NA|1.16|0.81|0.60|138.67
Panchmahal Stee|311.06|311.06|180.47|189.29|19.08|132.73|43.17|107.60|0.29|0.00|0.25|7.78|13.51|333.63|67.49|1.05|0.31|0.57|109.22
India Steel|565.96|565.96|246.17|251.96|103.99|166.42|41.14|196.75|8.01|NA|6.21|18.36|9.48|1,048.36|84.34|1.02|0.35|0.01|103.50
Raghav Producti|37.70|37.70|17.33|17.66|7.18|4.20|11.65|1.39|2.54|NA|3.77|0.83|1.13|42.34|NA|1.02|0.78|0.64|101.95
Supremex|3.18|3.18|0.00|3.17|3.15|NA|0.03|NA|0.00|NA|0.00|0.01|NA|0.14|0.00|727.67|727.67|NA|82.00
Welcast Steels|47.66|47.66|14.14|35.44|0.64|17.22|6.80|12.30|1.68|0.00|2.41|0.82|0.03|201.93|NA|2.51|1.29|0.00|81.04
Bedmutha Ind|656.49|656.49|314.04|323.23|24.53|100.40|137.47|154.59|-52.30|NA|-52.30|29.11|57.33|702.57|66.53|1.03|0.71|6.20|73.59
Hisar Metal|87.16|87.16|57.75|64.71|5.40|22.38|29.44|0.98|2.64|0.54|3.83|1.82|4.61|161.71|19.85|1.12|0.73|4.24|53.95
OCL Iron|2,369.75|2,369.75|1,403.50|136.29|66.42|32.08|22.15|47.40|-209.00|NA|-327.93|95.05|173.77|308.57|NA|0.10|0.07|1.11|52.18
SAL Steel|289.60|289.60|315.61|123.68|84.97|60.20|53.81|31.48|6.89|NA|6.89|7.64|0.73|362.98|NA|0.39|0.20|-2.86|52.25
Shah Alloys|643.59|643.59|677.89|135.76|19.80|116.75|7.34|100.92|42.36|NA|-28.51|13.74|14.33|312.28|NA|0.20|0.03|-1.14|38.01
Rathi Bars|111.92|111.92|30.31|76.64|16.33|15.22|38.26|11.01|0.97|NA|1.57|4.06|1.84|186.25|NA|2.53|2.03|0.19|32.58
Metkore Alloys|181.20|181.20|89.02|136.14|22.74|63.80|50.69|18.17|-21.72|0.00|-21.81|1.02|0.03|9.96|NA|1.53|0.81|0.51|23.80
Inducto Stl|65.82|65.82|24.94|61.08|4.76|20.48|0.98|21.29|0.52|0.00|0.74|0.14|1.52|27.39|0.69|2.45|1.63|0.00|10.75
Deepti Alloy|4.22|4.22|0.92|3.91|3.85|NA|0.07|0.91|0.23|NA|0.25|0.00|0.00|3.17|NA|4.26|4.26|0.02|9.56
Shree Steel Wir|11.13|11.13|1.97|5.61|3.30|1.37|2.57|1.61|0.53|NA|0.86|0.11|0.01|10.02|0.04|2.85|2.15|0.00|7.78
Ramsarup Ind|2,225.48|2,225.48|3,426.29|58.68|62.04|3.50|4.51|18.69|-42.33|NA|-42.33|44.14|0.06|6.38|0.35|0.02|0.02|-1.67|7.02
Aditya Ispat|27.09|27.09|17.03|21.34|5.35|5.44|15.06|4.19|0.42|NA|0.61|0.40|1.17|36.67|0.60|1.25|0.93|1.50|2.94
Ensa Steel|33.58|33.58|0.02|25.48|4.78|0.02|0.17|0.01|-0.05|NA|-0.05|0.00|NA|0.16|NA|1,206.30|1,205.21|NA|2.08
Tata Metaliks|1,065.70|1,065.70|683.17|422.78|25.29|160.19|187.92|170.66|116.05|5.06|152.46|36.43|37.50|1,411.55|NA|0.62|0.38|1.60|2,050.48
Srikalahasthi|1,556.96|1,556.96|546.07|635.04|39.76|213.43|143.34|70.97|140.23|23.93|191.22|36.89|39.29|1,208.34|NA|1.16|0.77|0.55|1,615.79
Kirloskar Ferro|972.18|972.18|307.74|366.05|68.65|121.86|195.95|163.80|90.57|0.00|121.46|45.87|13.66|1,139.26|255.54|1.19|0.79|0.17|1,463.02
Mideast Steels|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|987.19
Satvahana Ispat|1,293.37|1,293.37|900.87|472.70|50.90|219.74|114.85|437.67|-64.77|NA|-64.77|48.42|116.06|1,107.43|NA|0.52|0.28|5.26|170.52
Kalyani Steels|1,406.64|1,406.64|454.85|735.66|21.86|134.78|467.06|236.04|155.92|0.00|238.16|51.97|9.63|1,435.41|NA|1.62|1.32|0.25|1,635.46
Sunflag Iron|1,331.42|1,331.42|470.72|733.13|180.22|405.54|204.71|140.53|65.17|NA|84.91|33.19|35.06|1,517.41|325.98|1.56|0.70|0.37|1,431.84
Manaksia|115.59|115.59|16.44|75.43|13.11|0.00|17.65|7.49|8.32|0.00|11.97|0.46|0.10|52.72|NA|4.59|4.59|0.08|482.99
ISMT|2,443.00|2,443.00|2,158.20|700.88|73.25|322.64|200.16|128.94|-288.44|NA|-288.44|70.63|268.89|1,059.25|0.00|0.32|0.18|-3.04|224.44
Splendid Metal|2,902.02|2,902.02|1,734.97|2,154.32|150.51|254.05|1,486.00|124.07|-341.75|NA|-432.40|33.70|261.61|1,320.27|NA|1.24|1.10|7.35|43.35
Kanishk Steel|140.91|140.91|89.02|118.22|28.47|44.83|49.97|48.24|0.29|NA|1.30|1.88|3.15|235.60|33.94|1.33|0.82|0.37|29.00
Modern Steels|235.12|235.12|157.78|158.13|14.40|58.27|83.43|45.53|-0.58|NA|-2.53|5.35|4.86|317.59|NA|1.00|0.63|-17.87|28.87
Surana Ind|1,378.54|1,378.54|1,789.35|850.36|50.91|148.79|166.34|31.97|-608.26|0.00|-608.26|39.79|265.66|65.02|NA|0.48|0.39|-1.65|14.56
Shri Baj Alloys|72.53|72.53|24.72|43.59|9.00|18.39|16.56|0.09|0.95|NA|1.22|0.37|2.72|74.63|4.51|1.76|1.02|1.35|14.76
Ashiana Ispat|88.84|88.84|37.72|76.62|4.46|22.91|43.89|5.77|3.10|NA|4.44|1.46|3.71|208.53|34.41|2.03|1.42|1.73|14.18
Ahmedabad St|25.66|25.66|0.35|2.75|4.09|0.06|0.71|0.08|0.11|0.20|0.13|0.16|NA|5.60|NA|7.90|7.73|NA|10.64
Rathi Steel|533.10|533.10|238.92|204.76|76.50|78.72|104.95|16.65|-63.31|NA|-63.31|23.39|16.61|385.37|63.07|0.86|0.53|-2.93|9.08
KIOCL|2,541.29|2,541.29|263.48|2,274.05|634.51|163.17|144.39|158.00|47.93|6.98|31.22|22.02|0.32|1,026.21|0.00|8.63|8.01|0.00|26,475.09
Jindal Steel|60,116.81|60,116.81|14,387.88|8,744.12|91.50|1,886.97|797.20|2,387.56|-986.45|0.00|-1,456.98|2,043.65|2,280.40|13,856.98|NA|0.61|0.48|1.11|16,873.05
Sarda Energy|1,795.33|1,795.33|423.44|648.45|36.03|252.21|49.87|75.93|131.20|0.00|161.67|47.32|41.62|1,061.93|NA|1.53|0.94|0.27|1,746.59
Tata Sponge|1,045.80|1,045.80|149.08|670.36|15.40|49.08|35.77|52.52|58.74|15.40|83.47|12.76|2.44|594.33|NA|4.50|4.17|NA|1,445.52
Godawari Power|2,388.66|2,388.66|335.76|608.03|34.11|270.23|73.69|101.38|-77.44|0.00|-78.01|78.18|176.70|1,559.76|43.59|1.81|1.01|2.24|1,051.98
MSP Steel|1,788.38|1,788.38|505.27|612.36|122.08|296.02|135.61|119.17|-93.60|NA|-104.06|56.42|123.24|843.89|NA|1.21|0.63|2.62|723.04
Monnet Ispat|9,077.11|9,077.11|5,460.66|1,464.23|343.41|277.72|97.13|156.70|-1,733.86|0.00|-1,728.80|356.36|1,110.45|1,271.57|63.84|0.27|0.22|-5.61|601.30
Lloyds Metals|503.05|503.05|90.50|135.75|22.43|68.14|10.95|59.89|6.02|NA|6.02|12.97|10.16|419.50|25.07|1.50|0.75|0.38|432.91
Jai Balaji Ind|3,573.08|3,573.08|2,544.46|1,491.29|86.28|420.12|647.14|564.30|-218.20|NA|-218.20|111.91|41.07|1,584.70|NA|0.59|0.42|-2.74|239.52
Gyscoal Alloys|246.35|246.35|140.70|192.70|15.83|40.00|133.83|55.51|-8.26|NA|-9.26|9.20|14.39|157.56|10.55|1.37|1.09|1.35|125.83
Scan Steels|562.82|562.82|265.01|155.34|66.40|69.04|53.99|58.98|-11.81|NA|-14.93|20.03|13.19|420.24|0.00|0.59|0.33|0.69|113.08
Adhunik Metalik|2,409.83|2,409.83|1,386.91|630.23|123.50|508.19|57.90|318.07|-870.86|NA|-759.27|124.73|302.23|670.75|34.46|0.45|0.09|-2.21|59.65
Vaswani Ind|160.53|160.53|66.94|79.41|30.00|32.46|26.30|26.48|1.77|NA|1.65|5.74|9.24|255.91|33.58|1.19|0.70|0.48|47.70
Aanchal Ispat|133.60|133.60|69.61|106.54|20.85|35.19|58.73|28.44|1.24|NA|2.02|0.49|5.04|280.47|10.49|1.53|1.03|0.94|33.37
Ashirwad Steel|53.86|53.86|0.34|30.43|12.50|2.26|0.00|0.09|0.78|NA|0.82|0.63|0.02|4.00|NA|90.41|83.71|NA|16.94
Bihar Sponge|72.96|72.96|93.30|9.26|90.25|6.46|0.00|16.79|-3.77|NA|-3.77|4.35|0.15|2.43|NA|0.10|0.03|-0.48|15.61
Unison Metals|54.16|54.16|32.38|27.89|3.20|11.54|9.41|13.12|0.54|NA|0.78|0.94|2.46|73.43|12.15|0.86|0.51|1.87|15.06
Ratnamani Metal|1,412.96|1,412.96|177.95|910.50|9.35|339.10|425.21|117.11|144.30|0.00|205.46|59.70|6.07|1,425.54|NA|5.12|3.21|0.00|4,906.67
APL Apollo|1,181.60|1,181.60|647.42|537.52|23.59|228.52|192.29|325.95|39.33|0.00|51.27|29.70|48.01|2,881.51|NA|0.83|0.48|0.90|4,660.53
Jindal Saw|10,936.55|10,936.55|2,995.42|4,265.36|63.95|1,799.27|1,208.09|291.06|307.70|31.98|470.72|239.36|379.90|5,913.12|216.24|1.42|0.82|0.67|4,043.29
Welspun Corp|6,292.60|6,292.60|2,708.18|3,506.31|132.61|1,327.03|1,322.97|1,934.29|174.60|13.26|263.79|244.25|207.30|4,558.87|NA|1.29|0.80|0.77|3,621.66
Mah Seamless|3,284.69|3,284.69|208.40|1,570.56|33.50|484.21|308.62|138.52|145.52|16.75|225.71|69.38|10.32|1,513.25|191.62|7.54|5.21|0.01|3,410.28
Surya Roshni|2,100.10|2,100.10|952.17|1,239.04|43.83|540.91|542.13|259.04|66.22|4.38|86.93|55.92|87.74|3,146.22|0.00|1.30|0.73|1.14|1,689.69
Man Industries|1,360.59|1,360.59|583.39|879.75|28.55|108.92|323.65|211.71|32.65|8.57|43.39|40.07|36.30|1,134.63|72.29|1.51|1.32|0.59|722.92
Gandhi Spl Tube|195.07|195.07|5.55|59.43|7.35|24.34|16.27|0.88|29.74|13.23|37.16|4.46|NA|106.24|24.37|10.70|6.32|NA|603.30
Oil Country|355.65|355.65|177.68|112.81|44.29|97.60|1.14|28.14|-83.96|0.00|-103.38|22.40|18.29|12.68|NA|0.63|0.09|0.90|216.80
Good Luck|786.93|786.93|409.31|519.50|4.40|233.72|193.81|91.41|21.96|1.65|27.93|17.64|47.71|1,098.94|NA|1.27|0.70|1.69|195.53
JTL Infra|48.76|48.76|22.81|44.11|10.01|16.32|16.54|2.47|1.38|NA|2.17|0.42|1.19|114.10|0.00|1.93|1.22|1.16|144.11
Suraj|229.14|229.14|140.66|163.02|19.26|102.00|42.41|17.35|0.43|0.00|0.70|6.28|9.34|196.59|16.33|1.16|0.43|1.35|77.92
RMG Alloy Steel|211.18|211.18|157.96|98.28|123.97|43.37|41.65|50.51|-58.53|NA|-58.53|6.59|44.91|240.58|89.03|0.62|0.35|-1.23|65.17
PSL|2,137.71|2,137.71|860.54|82.74|124.93|19.52|9.63|25.13|-697.38|NA|-567.04|140.49|0.86|24.16|28.98|0.10|0.07|-1.64|50.35
Remi Edelstahl|93.06|93.06|30.58|47.85|14.98|30.26|11.85|5.80|-4.38|NA|-7.89|4.71|2.82|68.93|6.53|1.56|0.58|0.67|41.02
