Company|Total Capital And Liabilities|Total Assets|Total Current Liabilities|Total Current Assets|Total Share Capital|Inventories|Trade Receivables|Trade Payables|Profit/Loss For The Period|Equity Share Dividend|Profit/Loss Before Tax|Depreciation And Amortisation Expenses|Finance Costs|Total Revenue|Operating And Direct Expenses|Current Ratio|Quick Ratio|Total Debt/Equity|MARKET CAP(Rs CR)
Bharti Airtel|190,741.60|190,741.60|34,920.40|17,670.90|1,998.70|3.90|3,211.80|20,536.90|-9,925.60|399.70|-8,509.50|12,203.40|2,912.50|62,460.60|29,528.10|0.51|0.51|0.56|212,281.93
Idea Cellular|95,762.42|95,762.42|16,896.44|6,621.41|3,605.33|54.21|1,258.10|3,992.13|-831.08|0.00|-1,419.00|7,700.02|4,010.85|35,475.67|22,135.95|0.39|0.39|2.18|36,308.36
Tata Comm|13,145.28|13,145.28|3,023.66|2,037.26|285.00|14.83|806.98|1,174.15|689.83|147.50|1,204.84|764.58|30.68|5,051.24|1,923.39|0.67|0.67|0.08|19,305.90
Reliance Comm|73,889.00|73,889.00|29,382.00|18,031.00|1,244.00|108.00|1,636.00|2,435.00|-1,796.00|0.00|-3,855.00|1,972.00|2,409.00|9,154.00|7,506.00|0.61|0.61|1.10|4,510.58
MTNL|17,662.96|17,662.96|10,580.73|4,933.42|630.00|15.07|491.58|429.75|-2,941.08|NA|-2,945.46|1,087.63|1,448.47|3,552.46|497.86|0.47|0.46|-4.43|1,549.80
TataTeleservice|11,910.32|11,910.32|7,152.53|1,256.73|1,954.93|2.04|231.30|584.64|-2,356.47|NA|-2,356.47|795.82|1,282.27|2,780.12|786.85|0.18|0.18|-2.42|1,337.17
Goldstone Infra|194.27|194.27|60.72|93.83|14.43|32.07|42.74|12.92|6.01|NA|10.61|5.39|5.37|106.09|4.85|1.55|1.02|0.75|1,009.84
OnMobile Global|816.76|816.76|133.42|421.37|104.35|NA|53.37|106.51|42.63|15.64|49.05|11.44|0.00|369.89|63.94|3.16|3.16|0.00|623.22
Suyog Tele|138.49|138.49|29.60|49.87|10.15|1.08|17.81|3.88|17.01|NA|23.67|3.16|4.91|63.29|0.00|1.68|1.65|1.04|335.10
Quadrant Tele|519.47|519.47|278.55|94.89|286.07|2.58|30.77|60.82|-152.08|NA|-152.08|117.86|28.92|531.24|374.50|0.34|0.33|-0.96|115.10
Nettlinx|34.18|34.18|3.77|19.81|11.46|0.06|4.13|0.53|2.87|NA|3.72|0.37|0.42|10.66|NA|5.26|5.24|0.27|83.28
Nu Tek India|538.69|538.69|48.11|92.85|77.26|0.00|33.35|4.17|1.86|NA|0.27|0.64|1.73|39.90|5.46|1.93|1.93|0.01|26.42
Bharti Infratel|21,284.40|21,284.40|4,396.10|4,742.20|1,849.60|NA|151.50|53.40|2,705.00|2,774.40|3,335.70|1,165.70|-654.10|7,106.80|NA|1.08|1.08|0.02|67,279.50
Honeywell Autom|1,951.48|1,951.48|757.76|1,649.03|8.84|96.91|500.32|550.39|169.45|10.64|307.31|16.35|0.26|2,448.10|NA|2.18|2.05|NA|17,749.36
ITI|5,512.83|5,512.83|3,347.58|2,653.47|860.00|142.29|1,981.90|1,665.75|304.88|NA|140.41|16.94|152.62|1,903.99|65.24|0.79|0.75|-1.01|10,567.80
HFCL|2,226.92|2,226.92|928.79|1,959.92|184.32|217.59|1,147.16|392.44|123.72|NA|123.72|15.70|58.47|2,260.86|855.74|2.11|1.88|0.27|3,780.10
GTL Infra|5,444.24|5,444.24|2,297.55|268.61|2,460.08|0.34|64.75|40.72|-302.12|NA|-302.12|239.13|458.70|967.03|455.16|0.12|0.12|-53.80|2,838.51
Astra Microwave|655.03|655.03|116.69|460.23|17.32|125.89|227.43|37.62|56.56|0.00|68.57|24.07|10.50|428.82|NA|3.94|2.87|0.28|1,011.62
Spice Mobility|132.65|132.65|52.10|68.40|54.20|0.00|3.10|7.12|-87.50|0.00|-87.64|6.97|0.19|170.90|NA|1.31|1.31|0.02|524.09
NELCO|104.31|104.31|85.59|55.67|22.82|9.01|33.78|27.25|6.67|0.00|6.67|4.64|7.32|98.18|NA|0.65|0.55|3.34|292.99
GTL|3,344.55|3,344.55|6,901.31|579.36|284.38|5.94|125.24|143.29|-629.86|NA|-635.19|47.42|547.12|1,254.62|589.33|0.08|0.08|0.03|240.66
MIC Electronics|512.47|512.47|145.90|276.71|44.05|113.67|88.78|50.05|2.53|NA|3.38|7.43|9.85|233.41|NA|1.90|1.12|0.12|213.65
Prabhat Telecom|193.09|193.09|132.92|163.84|8.31|65.21|85.34|59.57|1.46|0.00|2.62|2.10|11.17|305.72|NA|1.23|0.74|1.67|178.35
ADC India Comm|59.30|59.30|13.12|49.82|4.60|6.72|11.73|12.23|3.88|0.00|6.32|0.26|0.00|65.28|NA|3.80|3.29|NA|111.78
Valiant Comm|31.37|31.37|2.28|22.15|7.22|7.99|10.18|1.61|0.49|NA|0.71|1.72|NA|17.99|NA|9.71|6.21|NA|55.69
Punj Comm|122.11|122.11|41.97|90.99|12.05|12.58|15.41|18.20|-5.63|NA|-5.63|0.53|0.05|37.02|1.32|2.17|1.87|0.01|50.50
Precision Elec|47.88|47.88|15.26|26.73|13.85|16.48|7.29|6.47|0.06|NA|0.75|1.07|1.16|24.41|5.26|1.75|0.67|0.44|41.20
Kavveri Telecom|381.75|381.75|245.41|258.87|20.12|56.83|42.55|58.12|-21.12|NA|-22.03|4.03|13.44|0.52|NA|1.05|0.82|0.95|25.07
Aishwarya Tele|50.35|50.35|16.03|45.80|10.78|11.35|24.16|5.24|-0.47|NA|0.05|1.06|1.57|57.31|42.60|2.86|2.15|0.18|14.45
XL Energy|953.98|953.98|892.11|243.42|126.55|76.07|155.58|6.47|-2.03|NA|-2.03|0.31|0.02|1.14|NA|0.27|0.19|-9.70|9.29
