Bharti Airtel|bhartiairtel|BA08
Idea Cellular|ideacellular|IC8
Tata Comm|tatacommunications|TC17
Reliance Comm|reliancecommunications|RC13
MTNL|mahanagartelephonenigam|MTN
TataTeleservice|tatateleservicesmaharashtra|TTM01
Goldstone Infra|goldstoneinfratech|GI29
OnMobile Global|onmobileglobal|OG01
Suyog Tele|suyogtelematics|ST07
Quadrant Tele|quadrantteleventures|HFC01
Nettlinx|nettlinx|NS05
Nu Tek India|nutekindia|NTI02
Bharti Infratel|bhartiinfratel|BI14
Honeywell Autom|honeywellautomation|HA04
ITI|iti|ITI
HFCL|himachalfuturisticcommunication|HFC
GTL Infra|gtlinfrastructure|GTL02
Astra Microwave|astramicrowaveproducts|AMP01
Spice Mobility|spicemobility|S13
NELCO|nelco|NEL
GTL|gtl|GTL01
MIC Electronics|micelectronics|ME12
Prabhat Telecom|prabhattelecoms|PT05
ADC India Comm|adcindiacommunications|KC07
Valiant Comm|valiantcommunications|VC01
Punj Comm|punjabcommunications|PC14
Precision Elec|precisionelectronics|PE01
Kavveri Telecom|kavveritelecomproducts|KTP
Aishwarya Tele|aishwaryatelecom|AT15
XL Energy|xlenergy|XLT01
